"account_status","User ID"
churn risk,1
churn risk,2
churn risk,3
churn risk,4
churn risk,5
churn risk,6
churn risk,7
churn risk,8
churn risk,9
churn risk,10
churn risk,11
churn risk,12
churn risk,13
churn risk,14
churn risk,15
churn risk,16
churn risk,17
churn risk,18
churn risk,19
churn risk,20
churn risk,21
churn risk,22
churn risk,23
churn risk,24
churn risk,25
churn risk,26
churn risk,27
churn risk,28
churn risk,29
churn risk,30
churn risk,31
churn risk,32
churn risk,33
churn risk,34
churn risk,35
churn risk,36
churn risk,37
churn risk,38
churn risk,39
churn risk,40
churn risk,41
churn risk,42
churn risk,43
churn risk,44
churn risk,45
churn risk,46
churn risk,47
churn risk,48
churn risk,49
churn risk,50
churn risk,51
churn risk,52
churn risk,53
churn risk,54
churn risk,55
churn risk,56
churn risk,57
churn risk,58
churn risk,59
churn risk,60
churn risk,61
churn risk,62
churn risk,63
churn risk,64
churn risk,65
churn risk,66
churn risk,67
churn risk,68
churn risk,69
churn risk,70
churn risk,71
churn risk,72
churn risk,73
churn risk,74
churn risk,75
churn risk,76
churn risk,77
churn risk,78
churn risk,79
churn risk,80
churn risk,81
churn risk,82
churn risk,83
churn risk,84
churn risk,85
churn risk,86
churn risk,87
churn risk,88
churn risk,89
churn risk,90
churn risk,91
churn risk,92
churn risk,93
churn risk,94
churn risk,95
churn risk,96
churn risk,97
churn risk,98
churn risk,99
churn risk,100
churn risk,101
churn risk,102
churn risk,103
churn risk,104
churn risk,105
churn risk,106
churn risk,107
churn risk,108
churn risk,109
churn risk,110
churn risk,111
churn risk,112
churn risk,113
churn risk,114
churn risk,115
churn risk,116
churn risk,117
churn risk,118
churn risk,119
churn risk,120
churn risk,121
churn risk,122
churn risk,123
churn risk,124
churn risk,125
churn risk,126
churn risk,127
churn risk,128
churn risk,129
churn risk,130
churn risk,131
churn risk,132
churn risk,133
churn risk,134
churn risk,135
churn risk,136
churn risk,137
churn risk,138
churn risk,139
churn risk,140
churn risk,141
churn risk,142
churn risk,143
churn risk,144
churn risk,145
churn risk,146
churn risk,147
churn risk,148
churn risk,149
churn risk,150
churn risk,151
churn risk,152
churn risk,153
churn risk,154
churn risk,155
churn risk,156
churn risk,157
churn risk,158
churn risk,159
churn risk,160
churn risk,161
churn risk,162
churn risk,163
churn risk,164
churn risk,165
churn risk,166
churn risk,167
churn risk,168
churn risk,169
churn risk,170
churn risk,171
churn risk,172
churn risk,173
churn risk,174
churn risk,175
churn risk,176
churn risk,177
churn risk,178
churn risk,179
churn risk,180
churn risk,181
churn risk,182
churn risk,183
churn risk,184
churn risk,185
churn risk,186
churn risk,187
churn risk,188
churn risk,189
churn risk,190
churn risk,191
churn risk,192
