"User ID","Monthly Revenue"
2,15
6,15
10,15
12,15
16,15
19,15
21,15
26,15
29,15
31,15
36,15
39,15
41,15
46,15
49,15
51,15
56,15
59,15
61,15
66,15
69,15
77,15
78,15
79,15
87,15
89,15
113,15
117,15
121,15
124,15
131,15
132,15
134,15
138,15
148,15
151,15
156,15
160,15
162,15
173,15
177,15
181,15
183,15
188,15
207,15
208,15
211,15
217,15
224,15
233,15
238,15
239,15
244,15
251,15
253,15
259,15
263,15
275,15
279,15
283,15
289,15
310,15
311,15
315,15
317,15
320,15
322,15
324,15
333,15
346,15
355,15
357,15
360,15
380,15
385,15
392,15
410,15
423,15
426,15
431,15
447,15
454,15
462,15
470,15
471,15
480,15
486,15
487,15
500,15
507,15
510,15
512,15
515,15
518,15
521,15
524,15
535,15
557,15
560,15
576,15
577,15
583,15
586,15
589,15
590,15
592,15
599,15
603,15
604,15
605,15
611,15
614,15
625,15
630,15
644,15
647,15
650,15
662,15
666,15
673,15
678,15
680,15
689,15
690,15
692,15
696,15
714,15
717,15
729,15
737,15
743,15
746,15
764,15
767,15
774,15
780,15
791,15
798,15
805,15
806,15
812,15
815,15
816,15
817,15
823,15
827,15
828,15
836,15
840,15
851,15
857,15
865,15
869,15
883,15
886,15
892,15
899,15
907,15
912,15
913,15
915,15
919,15
936,15
943,15
955,15
960,15
961,15
970,15
976,15
979,15
984,15
986,15
990,15
996,15
998,15
1011,15
1012,15
1032,15
1033,15
1048,15
1050,15
1056,15
1058,15
1059,15
1061,15
1065,15
1068,15
1070,15
1076,15
1077,15
1086,15
1092,15
1096,15
1102,15
1105,15
1107,15
1112,15
1114,15
1117,15
1121,15
1123,15
1125,15
1150,15
1153,15
1159,15
1164,15
1165,15
1177,15
1181,15
1183,15
1190,15
1194,15
1202,15
1216,15
1221,15
1222,15
1224,15
1226,15
1227,15
1228,15
1236,15
1246,15
1258,15
1266,15
1286,15
1306,15
1308,15
1310,15
1311,15
1325,15
1366,15
1385,15
1388,15
1409,15
1412,15
1414,15
1418,15
1419,15
1421,15
1422,15
1451,15
1478,15
1485,15
1492,15
1497,15
1498,15
1507,15
1516,15
1527,15
1536,15
1537,15
1541,15
1543,15
1558,15
1563,15
1573,15
1580,15
1581,15
1588,15
1594,15
1602,15
1606,15
1607,15
1611,15
1613,15
1627,15
1639,15
1646,15
1648,15
1649,15
1655,15
1672,15
1676,15
1678,15
1681,15
1685,15
1701,15
1706,15
1718,15
1728,15
1733,15
1736,15
1740,15
1744,15
1748,15
1750,15
1753,15
1755,15
1760,15
1767,15
1774,15
1775,15
1776,15
1779,15
1781,15
1786,15
1792,15
1806,15
1809,15
1818,15
1822,15
1839,15
1856,15
1859,15
1861,15
1864,15
1865,15
1880,15
1881,15
1890,15
1892,15
1895,15
1901,15
1902,15
1904,15
1905,15
1908,15
1910,15
1944,15
1949,15
1951,15
1957,15
1963,15
1964,15
1973,15
1979,15
1980,15
1986,15
1988,15
1990,15
1993,15
2012,15
2026,15
2040,15
2045,15
2063,15
2066,15
2072,15
2076,15
2078,15
2081,15
2085,15
2096,15
2098,15
2108,15
2112,15
2127,15
2135,15
2177,15
2186,15
2187,15
2188,15
2189,15
2196,15
2213,15
2216,15
2218,15
2220,15
2228,15
2234,15
2235,15
2245,15
2246,15
2247,15
2248,15
2255,15
2256,15
2266,15
2268,15
2269,15
2273,15
2278,15
2286,15
2305,15
2322,15
2335,15
2340,15
2353,15
2358,15
2371,15
2372,15
2374,15
2387,15
2397,15
2403,15
2411,15
2417,15
2426,15
2427,15
2444,15
2451,15
2453,15
2460,15
2465,15
2467,15
2483,15
2495,15
2497,15
2500,15
92,14
96,14
107,14
111,14
116,14
130,14
142,14
143,14
152,14
155,14
157,14
165,14
170,14
174,14
180,14
192,14
194,14
197,14
199,14
210,14
216,14
225,14
234,14
249,14
250,14
271,14
276,14
278,14
284,14
286,14
288,14
293,14
295,14
298,14
319,14
323,14
331,14
