"total_amount","revenue_percentile","quantity_percentile"
1042.65,0.0,0.0
1039.29,0.001001001001001001,0.0
1034.46,0.002002002002002002,0.0
1023.75,0.003003003003003003,0.0
1022.49,0.004004004004004004,0.0
1022.385,0.005005005005005005,0.0
1020.7049999999999,0.006006006006006006,0.0
1003.5899999999999,0.007007007007007007,0.0
1002.12,0.008008008008008008,0.0
951.825,0.009009009009009009,0.0
950.25,0.01001001001001001,0.0
944.622,0.011011011011011011,0.11911911911911911
943.2989999999999,0.012012012012012012,0.11911911911911911
942.9,0.013013013013013013,0.0
942.449,0.014014014014014014,0.11911911911911911
939.5400000000001,0.015015015015015015,0.0
937.818,0.016016016016016016,0.11911911911911911
936.6,0.01701701701701702,0.0
935.267,0.018018018018018018,0.11911911911911911
932.337,0.01901901901901902,0.11911911911911911
931.0350000000001,0.02002002002002002,0.0
926.95,0.021021021021021023,0.11911911911911911
922.635,0.022022022022022022,0.0
921.186,0.023023023023023025,0.11911911911911911
918.729,0.024024024024024024,0.11911911911911911
914.55,0.025025025025025027,0.0
888.615,0.026026026026026026,0.0
888.405,0.02702702702702703,0.0
887.922,0.028028028028028028,0.11911911911911911
881.307,0.02902902902902903,0.11911911911911911
874.125,0.03003003003003003,0.0
867.615,0.031031031031031032,0.0
867.0899999999999,0.03203203203203203,0.0
864.57,0.03303303303303303,0.0
860.6850000000001,0.03403403403403404,0.0
860.475,0.035035035035035036,0.0
856.454,0.036036036036036036,0.11911911911911911
853.146,0.037037037037037035,0.11911911911911911
852.7049999999999,0.03803803803803804,0.0
843.034,0.03903903903903904,0.11911911911911911
836.304,0.04004004004004004,0.21121121121121122
835.286,0.04104104104104104,0.11911911911911911
833.963,0.042042042042042045,0.11911911911911911
833.595,0.043043043043043044,0.0
832.944,0.044044044044044044,0.21121121121121122
830.372,0.04504504504504504,0.11911911911911911
829.7099999999999,0.04604604604604605,0.11911911911911911
829.08,0.04704704704704705,0.21121121121121122
829.08,0.04704704704704705,0.21121121121121122
827.0849999999999,0.04904904904904905,0.0
822.255,0.05005005005005005,0.0
820.365,0.05105105105105105,0.0
817.2360000000001,0.05205205205205205,0.21121121121121122
814.38,0.05305305305305305,0.0
810.6,0.05405405405405406,0.0
807.6600000000001,0.055055055055055056,0.0
804.3,0.056056056056056056,0.0
801.8639999999999,0.057057057057057055,0.21121121121121122
796.908,0.05805805805805806,0.21121121121121122
794.651,0.05905905905905906,0.11911911911911911
793.716,0.06006006006006006,0.21121121121121122
793.548,0.06106106106106106,0.21121121121121122
788.508,0.062062062062062065,0.21121121121121122
786.6179999999999,0.06306306306306306,0.11911911911911911
783.3,0.06406406406406406,0.0
782.2080000000001,0.06506506506506507,0.21121121121121122
781.62,0.06606606606606606,0.0
779.3100000000001,0.06706706706706707,0.0
772.38,0.06806806806806807,0.0
771.4350000000001,0.06906906906906907,0.0
769.104,0.07007007007007007,0.21121121121121122
767.025,0.07107107107107107,0.0
764.1899999999999,0.07207207207207207,0.0
763.466,0.07307307307307308,0.11911911911911911
760.452,0.07407407407407407,0.21121121121121122
760.442,0.07507507507507508,0.11911911911911911
759.675,0.07607607607607608,0.0
757.365,0.07707707707707707,0.0
756.168,0.07807807807807808,0.21121121121121122
752.64,0.07907907907907907,0.21121121121121122
749.7,0.08008008008008008,0.21121121121121122
749.49,0.08108108108108109,0.0
745.836,0.08208208208208208,0.21121121121121122
745.395,0.08308308308308308,0.0
743.8199999999999,0.08408408408408409,0.21121121121121122
742.812,0.08508508508508508,0.21121121121121122
742.297,0.08608608608608609,0.11911911911911911
737.761,0.08708708708708708,0.11911911911911911
736.439,0.08808808808808809,0.11911911911911911
734.7059999999999,0.0890890890890891,0.2962962962962963
734.0760000000001,0.09009009009009009,0.11911911911911911
733.604,0.09109109109109109,0.11911911911911911
732.27,0.0920920920920921,0.0
731.692,0.09309309309309309,0.2962962962962963
731.4300000000001,0.0940940940940941,0.11911911911911911
728.1120000000001,0.09509509509509509,0.21121121121121122
723.24,0.0960960960960961,0.2962962962962963
